时间,粉丝总数,新增关注,取消关注
累计,10175,9730,212
2026/03/29,215,0,0
2026/03/30,214,0,1
2026/03/31,213,0,1
2026/04/01,213,0,0
2026/04/02,213,0,0
2026/04/03,213,0,0
2026/04/04,224,11,0
2026/04/05,228,4,0
2026/04/06,234,7,1
2026/04/07,237,3,0
2026/04/08,242,5,0
2026/04/09,241,0,1
2026/04/10,242,1,0
2026/04/11,242,0,0
2026/04/12,242,0,0
2026/04/13,243,1,0
2026/04/14,244,1,0
2026/04/15,245,1,0
2026/04/16,245,0,0
2026/04/17,245,0,0
2026/04/18,246,1,0
2026/04/19,248,2,0
2026/04/20,250,2,0
2026/04/21,251,1,0
2026/04/22,268,18,1
2026/04/23,272,4,0
2026/04/24,272,0,0
2026/04/25,273,1,0
2026/04/26,273,0,0
2026/04/27,275,2,0
2026/04/28,276,1,0
2026/04/29,278,3,1
2026/04/30,279,1,0
2026/05/01,280,1,0
2026/05/02,282,2,0
2026/05/03,284,2,0
2026/05/04,286,2,0
2026/05/05,290,4,0
2026/05/06,293,3,0
2026/05/07,293,0,0
2026/05/08,294,1,0
2026/05/09,296,2,0
2026/05/10,298,2,0
2026/05/11,298,0,0
2026/05/12,300,2,0
2026/05/13,301,1,0
2026/05/14,302,1,0
2026/05/15,302,0,0
2026/05/16,304,2,0
2026/05/17,304,0,0
2026/05/18,304,0,0
2026/05/19,304,0,0
2026/05/20,304,0,0
2026/05/21,304,0,0
2026/05/22,304,0,0
2026/05/23,304,0,0
2026/05/24,303,0,1
2026/05/25,303,0,0
2026/05/26,303,0,0
2026/05/27,303,0,0
2026/05/28,303,0,0
2026/05/29,304,1,0
2026/05/30,304,0,0
2026/05/31,304,0,0
2026/06/01,304,0,0
2026/06/02,304,0,0
2026/06/03,304,0,0
2026/06/04,304,0,0
2026/06/05,307,3,0
2026/06/06,307,0,0
2026/06/07,308,1,0
2026/06/08,308,0,0
2026/06/09,308,0,0
2026/06/10,308,0,0
2026/06/11,307,0,1
2026/06/12,307,0,0
2026/06/13,308,1,0
2026/06/14,309,1,0
2026/06/15,309,0,0
2026/06/16,309,0,0
2026/06/17,309,0,0
2026/06/18,309,0,0
2026/06/19,309,0,0
2026/06/20,309,0,0
2026/06/21,310,1,0
2026/06/22,336,26,0
2026/06/23,360,24,0
2026/06/24,371,11,0
2026/06/25,394,25,2
2026/06/26,413,21,2
2026/06/27,609,196,0
2026/06/28,991,382,0
2026/06/29,1140,149,0
2026/06/30,1237,97,0
2026/07/01,1323,88,2
2026/07/02,1368,47,2
2026/07/03,1404,38,2
2026/07/04,1426,23,1
2026/07/05,1456,30,0
2026/07/06,1478,22,0
2026/07/07,1501,23,0
2026/07/08,1527,26,0
2026/07/09,1544,17,0
2026/07/10,1569,25,0
2026/07/11,1593,24,0
2026/07/12,1608,15,0
2026/07/13,1630,23,1
2026/07/14,1642,13,1
2026/07/15,1657,16,1
2026/07/16,1668,11,0
2026/07/17,1771,105,2
2026/07/18,1893,126,4
2026/07/19,1955,67,5
2026/07/20,1978,26,3
2026/07/21,2000,23,1
2026/07/22,2031,32,1
2026/07/23,2064,38,5
2026/07/24,2156,96,4
2026/07/25,2319,165,2
2026/07/26,2395,77,1
2026/07/27,2443,50,2
2026/07/28,2594,158,7
2026/07/29,2915,321,0
2026/07/30,3027,113,1
2026/07/31,3112,87,2
2026/08/01,3209,99,2
2026/08/02,3253,44,0
2026/08/03,3287,36,2
2026/08/04,3314,27,0
2026/08/05,3345,31,0
2026/08/06,3373,33,5
2026/08/07,3392,22,3
2026/08/08,3626,241,7
2026/08/09,3854,232,4
2026/08/10,4012,160,2
2026/08/11,4115,105,2
2026/08/12,4183,69,1
2026/08/13,4251,70,2
2026/08/14,4359,112,4
2026/08/15,4536,180,3
2026/08/16,4676,145,5
2026/08/17,4756,83,3
2026/08/18,4826,74,4
2026/08/19,4905,80,1
2026/08/20,4950,49,4
2026/08/21,5062,114,2
2026/08/22,5796,741,7
2026/08/23,6082,289,3
2026/08/24,6262,180,0
2026/08/25,6395,140,7
2026/08/26,6517,125,3
2026/08/27,6619,107,5
2026/08/28,6738,124,5
2026/08/29,6851,116,3
2026/08/30,6986,136,1
2026/08/31,7216,230,0
2026/09/01,7355,141,2
2026/09/02,7508,157,4
2026/09/03,7616,110,2
2026/09/04,7724,113,5
2026/09/05,7837,115,2
2026/09/06,7900,64,1
2026/09/07,7975,83,8
2026/09/08,8074,101,2
2026/09/09,8154,83,3
2026/09/10,8235,83,2
2026/09/11,8339,108,4
2026/09/12,8482,146,3
2026/09/13,8599,119,2
2026/09/14,8663,66,2
2026/09/15,8711,50,2
2026/09/16,8769,64,6
2026/09/17,8796,33,6
2026/09/18,8864,71,3
2026/09/19,9082,222,4
2026/09/20,9234,154,2
2026/09/21,9475,245,4
2026/09/22,9665,191,1
2026/09/23,9809,146,2
2026/09/24,9931,122,0
